"DES","PHONE_NUMBER","MAIL","PROD_CATEGORY","COUNTRY_NAME","GEO_ID"
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Italy",428
"JohnChen Ltd","515.124.4269","Chen@company.com","Software/Other","Germany",512
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","United States of America",379
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Spain",345
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Germany",512
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Spain",345
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Canada",386
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Germany",512
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Spain",345
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","United States of America",379
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Canada",386
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","France",488
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","South Africa",367
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Japan",356
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","France",488
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Brazil",431
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Australia",378
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Brazil",431
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Australia",378
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Argentina",313
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Brazil",431
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Poland",519
"DavidAustin Ltd","590.423.4569","riva.austin@company2.com","Software/Other","Italy",428
"JanetteKing Ltd","011.44.1345.429268","jessie.king@company2.com","Software/Other","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","alexis.smith@company2.com","Software/Other","France",488
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Canada",386
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Software/Other","France",488
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Germany",512
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Spain",345
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Brazil",431
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","China",346
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","United States of America",379
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Italy",428
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","France",488
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Germany",512
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Italy",428
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Poland",519
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Turkey",353
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Poland",519
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Australia",378
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Singapore",506
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Denmark",311
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Germany",512
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Saudi Arabia",389
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Brazil",431
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Poland",519
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Software/Other","Argentina",313
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","United States of America",379
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Software/Other","Spain",345
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","United States of America",379
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","France",488
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","United States of America",379
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Singapore",506
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","China",346
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Brazil",431
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Poland",519
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Australia",378
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Singapore",506
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","France",488
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","France",488
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Australia",378
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Australia",378
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","China",346
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Brazil",431
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Japan",356
"JohnChen Ltd","515.124.4269","Chen@company.com","Software/Other","Denmark",311
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","France",488
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Italy",428
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Canada",386
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","France",488
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Germany",512
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","France",488
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Denmark",311
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","United States of America",379
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","France",488
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Italy",428
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Canada",386
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Poland",519
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Singapore",506
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Singapore",506
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Singapore",506
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Argentina",313
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Italy",428
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Spain",345
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Singapore",506
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Canada",386
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Poland",519
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Canada",386
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","France",488
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Japan",356
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Poland",519
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Japan",356
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","China",346
"PatFay Ltd","603.123.6666","arentina.fay@company2.com","Software/Other","Italy",428
"BritneyEverett Ltd","650.501.2876","olive.everett@company2.com","Software/Other","France",488
"HermannBaer Ltd","515.123.8888","mara.baer@company2.com","Software/Other","United States of America",379
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Canada",386
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Australia",378
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Brazil",431
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Germany",512
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Italy",428
"JohnChen Ltd","515.124.4269","Chen@company.com","Software/Other","United States of America",379
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Germany",512
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","New Zealand",460
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","United States of America",379
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Spain",345
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","France",488
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Denmark",311
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","United States of America",379
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Germany",512
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Spain",345
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Japan",356
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Software/Other","Canada",386
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Australia",378
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Singapore",506
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","United States of America",379
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Italy",428
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","China",346
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","China",346
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Brazil",431
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Brazil",431
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Poland",519
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Argentina",313
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Brazil",431
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Spain",345
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Brazil",431
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Software/Other","Poland",519
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Australia",378
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Poland",519
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Australia",378
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Canada",386
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Singapore",506
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Brazil",431
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Australia",378
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Brazil",431
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Japan",356
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Germany",512
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Germany",512
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Italy",428
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","United States of America",379
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","France",488
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Canada",386
"JohnChen Ltd","515.124.4269","Chen@company.com","Software/Other","Italy",428
"JohnChen Ltd","515.124.4269","Chen@company.com","Software/Other","Spain",345
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Australia",378
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Denmark",311
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Spain",345
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Spain",345
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Denmark",311
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Spain",345
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Singapore",506
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Australia",378
"JohnChen Ltd","515.124.4269","eliot.chen@company2.com","Software/Other","France",488
"TimothyGates Ltd","650.505.3876","gertrude.gates@company2.com","Software/Other","United States of America",379
"PatFay Ltd","603.123.6666","jeffrey.fay@company2.com","Software/Other","Italy",428
"StevenKing Ltd","515.123.4567","jessie.king@company2.com","Software/Other","Canada",386
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Software/Other","Denmark",311
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","United States of America",379
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Italy",428
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Germany",512
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Software/Other","United States of America",379
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Software/Other","Germany",512
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","France",488
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Italy",428
"JohnChen Ltd","515.124.4269","Chen@company.com","Software/Other","France",488
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Poland",519
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","Canada",386
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Spain",345
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Germany",512
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Italy",428
"HermannBaer Ltd","515.123.8888","Baer@company.com","Software/Other","Germany",512
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","United States of America",379
"PatFay Ltd","603.123.6666","Fay@company.com","Software/Other","Italy",428
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Brazil",431
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","Australia",378
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Spain",345
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Software/Other","Italy",428
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","New Zealand",460
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Germany",512
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Japan",356
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","Japan",356
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Japan",356
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Italy",428
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Poland",519
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","Argentina",313
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Australia",378
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Software/Other","Brazil",431
"JenniferDilly Ltd","650.505.2876","norbert.dilly@company2.com","Software/Other","Spain",345
"AlanaWalsh Ltd","650.507.9811","verna.walsh@company2.com","Software/Other","United States of America",379
"PatFay Ltd","603.123.6666","denice.fay@company2.com","Software/Other","Australia",378
"LindseySmith Ltd","011.44.1345.729268","alexis.smith@company2.com","Software/Other","France",488
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Software/Other","Australia",378
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","France",488
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","Spain",345
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Hardware","France",488
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Germany",512
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Hardware","Canada",386
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Hardware","United States of America",379
"StevenKing Ltd","515.123.4567","King@company.com","Hardware","France",488
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Hardware","Germany",512
"StevenKing Ltd","515.123.4567","King@company.com","Hardware","Spain",345
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","Italy",428
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","Brazil",431
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Italy",428
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Poland",519
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Hardware","Australia",378
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","New Zealand",460
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Hardware","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Hardware","Argentina",313
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","Poland",519
"DavidAustin Ltd","590.423.4569","Austin@company.com","Hardware","United States of America",379
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Hardware","Argentina",313
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Hardware","Australia",378
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Hardware","China",346
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Hardware","United States of America",379
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Hardware","Italy",428
"JohnChen Ltd","515.124.4269","talbot.chen@company2.com","Hardware","United States of America",379
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Hardware","Saudi Arabia",389
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","Italy",428
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Hardware","United States of America",379
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Hardware","United States of America",379
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Hardware","Italy",428
"JohnChen Ltd","515.124.4269","Chen@company.com","Hardware","Germany",512
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","United States of America",379
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Hardware","Spain",345
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","Germany",512
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","Spain",345
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","Canada",386
"PatFay Ltd","603.123.6666","Fay@company.com","Hardware","Germany",512
"PatFay Ltd","603.123.6666","Fay@company.com","Hardware","Spain",345
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Hardware","United States of America",379
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","Canada",386
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Hardware","France",488
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","South Africa",367
"DavidAustin Ltd","590.423.4569","Austin@company.com","Hardware","Japan",356
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","France",488
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Brazil",431
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Australia",378
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Hardware","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","Brazil",431
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Hardware","Australia",378
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Hardware","Argentina",313
"PatFay Ltd","603.123.6666","Fay@company.com","Hardware","Brazil",431
"StevenKing Ltd","515.123.4567","King@company.com","Hardware","Poland",519
"DavidAustin Ltd","590.423.4569","riva.austin@company2.com","Hardware","Italy",428
"JanetteKing Ltd","011.44.1345.429268","jessie.king@company2.com","Hardware","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","alexis.smith@company2.com","Hardware","France",488
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","Canada",386
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Hardware","France",488
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Hardware","Germany",512
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","Spain",345
"DavidAustin Ltd","590.423.4569","Austin@company.com","Hardware","Brazil",431
"DavidAustin Ltd","590.423.4569","Austin@company.com","Hardware","China",346
"StevenKing Ltd","515.123.4567","King@company.com","Hardware","United States of America",379
"HermannBaer Ltd","515.123.8888","Baer@company.com","Hardware","Italy",428
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Hardware","France",488
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Hardware","Germany",512
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Hardware","Italy",428
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","Poland",519
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","Turkey",353
"HermannBaer Ltd","515.123.8888","Baer@company.com","Hardware","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Hardware","Poland",519
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Hardware","Australia",378
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Hardware","Singapore",506
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Hardware","Denmark",311
"DavidAustin Ltd","590.423.4569","Austin@company.com","Hardware","Germany",512
"HermannBaer Ltd","515.123.8888","Baer@company.com","Hardware","Saudi Arabia",389
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Hardware","Brazil",431
"MarthaSullivan Ltd","650.507.9878","Sullivan@company.com","Hardware","Poland",519
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Hardware","Argentina",313
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","United States of America",379
"MichaelRogers Ltd","650.127.1834","Rogers@company.com","Hardware","Spain",345
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Hardware","United States of America",379
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Hardware","France",488
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Hardware","United States of America",379
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Hardware","Singapore",506
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Hardware","China",346
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Hardware","Brazil",431
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Hardware","Poland",519
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Hardware","Australia",378
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Hardware","Singapore",506
"HermannBaer Ltd","515.123.8888","Baer@company.com","Hardware","France",488
"DavidAustin Ltd","590.423.4569","Austin@company.com","Hardware","France",488
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","Australia",378
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","Japan",356
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","Australia",378
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Hardware","China",346
"HermannBaer Ltd","515.123.8888","Baer@company.com","Hardware","Brazil",431
"PatFay Ltd","603.123.6666","Fay@company.com","Hardware","Japan",356
"JohnChen Ltd","515.124.4269","Chen@company.com","Hardware","Denmark",311
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Hardware","France",488
"VanceJones Ltd","650.501.4876","Jones@company.com","Hardware","Italy",428
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Hardware","Canada",386
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Hardware","France",488
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Hardware","Germany",512
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Hardware","France",488
"StevenKing Ltd","515.123.4567","King@company.com","Hardware","Denmark",311
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Hardware","United States of America",379
"PatFay Ltd","603.123.6666","Fay@company.com","Hardware","France",488
"PeterTucker Ltd","011.44.1344.129268","Tucker@company.com","Hardware","Italy",428
