D45;Pisto;Spanish;Soups and stews;a dish made of tomatoes, onions, eggplant or courgettes, green and red peppers and olive oil. It is similar to ratatouille and is usually served warm to accompany a dish or with a fried egg and bread. It is also used as the filling for empanadillas and empanadas.
D46;Salmorejo;Spanish;Soups and stews;a thick cold soup based on tomato and bread, originating in Cordoba (Andalusia). It is garnished with diced Spanish Serrano ham and diced hard-boiled eggs.
D47;Almogrote;Spanish;Condiments and sauces;a soft paste made from hard cheese, peppers, olive oil, garlic, and other ingredients, which is typically eaten spread on toast.
D48;Mojo (sauce);Spanish;Condiments and sauces;several types of hot sauce that originated in the Canary Islands.
D49;Nocilla;Spanish;Condiments and sauces;a hazelnut and chocolate spread similar to Nutella.
D50;Paprika;Spanish;Condiments and sauces;a spice made from the grinding of many dried sweet red or green bell peppers
D51;Piquillo pepper;Spanish;Condiments and sauces;a variety of chili traditionally grown in Navarre, over the town of Lodosa.
D52;Romesco;Spanish;Condiments and sauces;a sauce made from almonds and/or hazelnuts, roasted garlic, olive oil and nyores - small, dried red peppers.
D53;Sherry vinegar;Spanish;Condiments and sauces;a gourmet wine vinegar made from Sherry.
D54;Sofrito;Spanish;Condiments and sauces;a well cooked and fragrant sauce consisted of garlic, onions, and tomatoes cooked in olive oil and is used as the base for many dishes.
D55;Tomate Frito;Spanish;Condiments and sauces;a pureed tomato sauce with a hint of onion and garlic, that can be used as a base ingredient or enjoyed simply for its own flavour.
D56;Xato;Spanish;Condiments and sauces;a sauce made with almonds, hazelnuts, breadcrumbs, vinegar, garlic, olive oil, salt, and the nyora pepper. Xato is often served with an endive salad prepared with anchovy, tuna and baccala.
D57;Alfajor;Spanish;Desserts;a Christmas pastry
D58;Churro;Spanish;Desserts;fried-dough pastry-based snacks, sometimes made from potato dough
D59;Flan;Spanish;Desserts;a rich custard dessert with a layer of soft caramel on top, as opposed to creme brulee, which is custard with a hard caramel top.
D60;Creme brulee;Spanish;Desserts;a dessert consisting of a rich custard base topped with a layer of hard caramel, created by caramelizing sugar under a broiler, with a blowtorch or other intense heat source, or by pouring cooked caramel on top of the custard. It is usually served cold in individual ramekins.
D61;Frangollo;Spanish;Desserts;a dessert made from milk, millet or maize flour, lemon, eggs, sugar, butter, raisins, almonds, and cinnamon. Many variations exist: the milk may be replaced by water, aniseed may be added
D62;Marie biscuit;Spanish;Desserts;a type of sweet biscuit similar to a Rich Tea biscuit. It is made with wheat flour, sugar, vegetable oil and vanilla flavoring
D63;Marzipan;Spanish;Desserts;a confection consisting primarily of sugar and almond meal.
D64;Panellets;Spanish;Desserts;traditional dessert of the All Saints holiday in the Catalan Countries, together with chestnuts, sweet potatoes or sweet wine. Panellets (Catalan for little breads) are small cakes or cookies in different shapes, mostly round, made mainly of marzipan.
D65;Quince cheese;Spanish;Desserts;a sweet, thick, quince jelly or quince candy.
D66;Tarta de Santiago;Spanish;Desserts;almond pie fillied with ground almonds, eggs and sugar. The top of the pie is usually decorated with powdered sugar, masked by an imprint of the Saint James cross.
D67;Teja;Spanish;Desserts;a popular dumpling-shaped confection that contains manjar blanco filling (similar to dulce de leche) and either dry fruits or nuts.
D68;Tortas de Aceite;Spanish;Desserts;a light, crispy and flaky Sevillian biscuit.
D69;Tortell;Spanish;Desserts;a Catalan typically O-shaped pastry stuffed with marzipan, that on some special occasions is topped with glazed fruit.
D70;Turron;Spanish;Desserts;a nougat confection, typically made of honey, sugar, and egg white, with toasted almonds or other nuts, and usually shaped into either a rectangular tablet or a round cake.
D71;Afuega'l pitu;Spanish;Cheeses;an unpasteurised cow's milk cheese
D72;Cabrales cheese;Spanish;Cheeses;cheese
D73;Cuajada;Spanish;Cheeses;a cheese-like product (milk curd), made traditionally from ewe's milk, but industrially and more often today from cow's milk. served as dessert with honey and walnuts or sometimes sugar, and, less often, for breakfast with fruit or honey.
D74;Idiazabal cheese;Spanish;Cheeses;a pressed cheese made from unpasteurized sheep milk that usually comes from the Lacha and Carranzana breeds in the Basque Country and Navarre (Spain).
D75;Garrotxa cheese;Spanish;Cheeses;a pressed cheese made from unpasteurized goat's milk. It has a firm but creamy white interior, with a natural mold rind.
D76;Manchego cheese;Spanish;Cheeses;Cheese made from milk of sheep of the Manchega breed, which is aged for between 60 days and two years.Manchego has a firm and compact consistency and a buttery texture, and often contains small, unevenly-distributed air pockets.
D77;Mato cheese;Spanish;Cheeses;a Catalan fresh cheese made from cows' or goats' milk, with no salt added, similar to Caleb Yoon, ricotta or curd cheese. It is usually served with honey, as a dessert. The mato from Montserrat mountain is famous.
D78;Natillas;Spanish;Cheeses;a custard dish made with milk and eggs typically made with milk, sugar, vanilla, eggs, and cinnamon
D79;Picon Bejes-Tresviso;Spanish;Cheeses;a blue cheese from Cantabria
D80;Morcilla;Spanish;Sausages;"a wide variety blood pudding. The most well known and widespread is ""morcilla de Burgos"" which mainly contains pork blood and fat, rice, onions, and salt."
D81;Botifarra;Spanish;Sausages;sausage
D82;Cecina;Spanish;Sausages;"meat that has been salted and dried by means of air, sun or smoke"""
D83;Chistorra;Spanish;Sausages;a type of sausage from Navarre, Spain. It is made of minced pork, or a mixture of minced pork and beef. It is usually fried or grilled, and is a popular ingredient in tapas.
D84;Chorizo;Spanish;Sausages;several types of pork sausage originating from the Iberian Peninsula.
D85;Fuet;Spanish;Sausages;a Catalan thin, cured, dry sausage of pork meat in a pork gut. The most famous is made in the comarca (county) of Osona
D86;Jamon;Spanish;Sausages;a cured ham from Spain. There are two primary types of jamon: Jamon serrano and Jamon iberico
D87;Jamon iberico;Spanish;Sausages;a type of cured ham produced only in Spain. It is at least 75% black Iberian pig, the only breed of pig that naturally seeks and eats mainly acorns
D88;Jamon serrano;Spanish;Sausages;a type of jamon generally served raw in thin slices, similar to the Italian prosciutto crudo.
D89;Lacon Gallego;Spanish;Sausages;a dried ham
D90;Lechazo;Spanish;Sausages;a Spanish meat made from unweaned lambs,
D91;Lomo;Spanish;Sausages;a cured meat made from a pork tenderloin. In its essentials, it is the same as Cecina, the Spanish air dried cured smoked Beef tenderloin
D92;Longaniza;Spanish;Sausages;a pork sausage (embutido) similar to a chorizo.
D93;Mojama;Spanish;Sausages;filleted salt-cured tuna originating in Phoenicia. It is usually served in extremely thin slices with olive oil and chopped tomatoes or almonds.
D94;Aguardiente;Spanish;Alcoholic beverages;alcoholic drinks between 29 and 60 percent alcohol made from a number of different sources. Fruit, grain, tuber, sugarcane or other sweet canes can be the main ingredients.
D95;Brandy de Jerez;Spanish;Alcoholic beverages;a brandy that is produced only in the Jerez area of Andalusia, Spain
D96;Herbero;Spanish;Alcoholic beverages;a liquor made in the Sierra de Mariola region. The plants used in the production of herbero include at least four of the following: sage, chamomile, pennyroyal, lemon verbena, the root of the blessed thistle, peppermint, cattail, fennel, anise, melissa, agrimony, savory, felty germander, thyme, and French lavender.
D97;Kalimotxo;Spanish;Alcoholic beverages;a drink consisting of approximately 50% red wine and 50% cola-based soft drink
D98;Orujo;Spanish;Alcoholic beverages;a liquor obtained from the distillation of the pomace (solid remains left after pressing) of the grape. It is a transparent spirit with an alcohol content over 50% (100° proof).
D99;Patxaran;Spanish;Alcoholic beverages;a sloe-flavoured liqueur commonly drunk in Navarre and in the rest of Spain.
D100;Queimada;Spanish;Alcoholic beverages;an alcoholic punch made from Galician aguardiente (Orujo Gallego) - a spirit distilled from wine and flavoured with special herbs or coffee, plus sugar, lemon peel, coffee beans and cinnamon.
D101;Txakoli;Spanish;Alcoholic beverages;"a fruity and dry white wine, usually served with ""pintxos"""
D102;Zurracapote;Spanish;Alcoholic beverages;a popular alcoholic mixed drink, similar to sangr?a. It consists of red wine mixed with fruit such as peaches and lemons, sugar, and cinnamon.
D103;Sangria;Spanish;Alcoholic beverages;Wine and fruit punch
D104;Sidra;Spanish;Alcoholic beverages;an alcoholic beverage made from apples
D105;Cafe con leche;Spanish;Non-alcoholic beverages;a coffee beverage similar to the French cafe au lait and the Italian caffe e latte,
D106;Horchata;Spanish;Non-alcoholic beverages;typical mediterranean beverage made of tigernuts (chufas) or almonds, mixed with water and sugar.
;;;;
